epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,0.29396045729045917,0.6974724054601267,0.49879402548168145,0.8051201671891327,0.7116607283080463,0.000575
2,0.1360177270633548,0.8446215139442231,0.3317083390342031,0.8662486938349008,0.8097710899990843,0.0005741225961137916
3,0.10038228730951095,0.8772124616288942,0.30119970003327856,0.8876698014629049,0.8357100547982675,0.0005714957939418912
4,0.09147130194561166,0.8860296518842662,0.3041702790288965,0.8811389759665622,0.8365888640695985,0.0005671357885931888
5,0.07206765702976656,0.9067990333746979,0.25489126306217913,0.8926332288401254,0.8629363368894148,0.0005610694609505081
6,0.06410199111014513,0.9128730977728431,0.297190435254088,0.8738244514106583,0.8234300219932635,0.000553334211941025
7,0.07079371850640526,0.9151590359871987,0.2507720435799227,0.9090909090909091,0.8779756396277714,0.0005439777319471142
8,0.06235847097778529,0.9159427862321207,0.2428584427279863,0.9140543364681296,0.8737887899224095,0.0005330577067792835
9,0.046511374970169446,0.9291359153549735,0.24601372372643202,0.9080459770114943,0.8626262635335513,0.0005206414620239695
10,0.06802794401895275,0.9194043498138593,0.23414069175907062,0.9263322884012539,0.8861788805724264,0.0005068055479589089
11,0.048474300145445,0.9294624779570244,0.23552700157823234,0.9124869383490073,0.8720234377104205,0.0004916352675952211
12,0.040697259958253164,0.9375612304878845,0.23339698617049767,0.9166666666666666,0.8744979905926192,0.00047522415075597856
13,0.036145259924931256,0.9432434197635686,0.2387414908147531,0.9211076280041798,0.887072700228927,0.00045767337743374514
14,0.029704527165316155,0.9498399843249951,0.2811920018156245,0.9216300940438872,0.8888734727306831,0.00043909115398227687
15,0.029243093248923626,0.9516687348964796,0.31981125582971043,0.9299895506792059,0.8918515340515912,0.00041959204598836843
16,0.028573705088139167,0.9492521716413036,0.30313440403719055,0.9302507836990596,0.8957542887132628,0.00039929627193691363
17,0.02539843210889545,0.9551302984782183,0.29318905684828384,0.9276384535005224,0.8838689203995065,0.00037832896202396937
18,0.026158465543040077,0.953824048070015,0.27827391943961477,0.9349529780564263,0.8958143046341203,0.00035681938668748707
19,0.021509545794822896,0.9608778002743126,0.25839893740982345,0.9286833855799373,0.8893823396129941,0.0003349001596120757
20,0.028126698119251857,0.9589837371824179,0.2137243339291685,0.9391327063740856,0.9132133483579443,0.0003127064201215378
21,0.02391107206099452,0.9597674874273399,0.23472041154792192,0.9339080459770115,0.9004724481777651,0.00029037499999999994
22,0.02075554051313431,0.9615309254784142,0.21586511682722884,0.9380877742946708,0.9085195269060607,0.0002680435798784621
23,0.017776761172860853,0.9672131147540983,0.27460527652047395,0.9433124346917451,0.9027190901516746,0.0002458498403879243
24,0.022906418436477984,0.9580693618966756,0.27361599328687325,0.940700104493208,0.9061280116939876,0.0002239306133125129
25,0.017391327797517887,0.9691071778459931,0.2793182619188522,0.9391327063740856,0.9077256730439772,0.00020242103797603054
26,0.016194585568063732,0.9718503037032199,0.3012439980713676,0.9440961337513062,0.9111614632991512,0.00018145372806308629
27,0.015733507852720336,0.9713278035399386,0.24433629135353063,0.9425287356321839,0.9116452584499799,0.00016115795401163145
28,0.019631821772558213,0.9721768663052707,0.25775108806391867,0.945141065830721,0.9221090947938175,0.00014165884601772302
29,0.014221923918370894,0.9744628045196264,0.2630473591130355,0.9409613375130617,0.9167473170324888,0.0001230766225662548
30,0.013330399004410265,0.9762262425707008,0.26998209286882086,0.9433124346917451,0.9112549971775075,0.00010552584924402146
31,0.010860257106253782,0.9780549931421854,0.28031533518991003,0.946969696969697,0.9123157567589026,8.911473240477889e-05
32,0.011911892494970575,0.9781203056625956,0.24945892133558306,0.9508881922675027,0.9256742207042593,7.394445204109116e-05
33,0.011266763668221937,0.9772712428972634,0.25296934174768854,0.9448798328108673,0.9209759613479529,6.010853797603057e-05
34,0.009628493958369375,0.9805368689177716,0.2751088346371207,0.9498432601880877,0.9262186408488444,4.769229322071648e-05
35,0.008895706491821363,0.9809287440402326,0.2717065551749342,0.949582027168234,0.9270520200439747,3.6772268052885796e-05
36,0.00965331187066031,0.9818431193259748,0.2616115458457572,0.9464472309299895,0.9183910015621446,2.7415788058974997e-05
37,0.008376252961140456,0.9821696819280256,0.2718327657680651,0.9498432601880877,0.9227835083933417,1.9680539049491914e-05
38,0.00875585770655267,0.9825615570504865,0.27952155361853176,0.9467084639498433,0.9201064968602042,1.3614211406811303e-05
39,0.008609362658745599,0.9828881196525374,0.27716551261760347,0.9490595611285266,0.9225901339954855,9.25420605810894e-06
40,0.007895067415440014,0.9834106198158187,0.28791841609226376,0.950626959247649,0.9240228582213679,6.6274038862084525e-06
