epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,0.2515922031757,0.7476977336555418,0.7239188766155622,0.7110762800417972,0.6565410840391652,0.000439
2,0.11081689967269659,0.8604924564038926,0.3240710490674185,0.8539707419017764,0.7949710539679948,0.0004383301212068774
3,0.08498707587492707,0.8896218405068251,0.36110677215871145,0.8529258098223615,0.7865847783100739,0.00043632461485302644
4,0.0888207261548216,0.8994840310887597,0.36886014055184313,0.8526645768025078,0.7877940065903166,0.0004329958455520171
5,0.05516683969051318,0.9211024753445235,0.2984568843989786,0.9038662486938349,0.8714870742882991,0.00042836433627351834
6,0.057395225267921304,0.9181634119260662,0.2597323149411531,0.8970741901776385,0.8479837223169059,0.00042245864181236515
7,0.06819986193558555,0.9196002873750898,0.24636890174764575,0.904649947753396,0.8751123877151212,0.00041531517273875324
8,0.06527982773160135,0.9222127881914963,0.31338697731058923,0.9179728317659352,0.8708089970084734,0.000406977970914966
9,0.06611905775924844,0.9160080987525309,0.3614506965022351,0.8691222570532915,0.8131769810107382,0.00039749843796264795
10,0.043017418042090985,0.9357324799164,0.2843662919856164,0.8986415882967607,0.8471500109399045,0.00038693501835471476
11,0.04428459434434222,0.9365815426817321,0.23852165982267326,0.9124869383490073,0.8880564017067958,0.0003753528390857427
12,0.047851493410110656,0.9308993534060479,0.27534016873395556,0.9130094043887147,0.8772688469374836,0.0003628233081423906
13,0.032475458816154684,0.9478152961922801,0.2442190302389916,0.9140543364681296,0.8978371553813562,0.00034942367424941587
14,0.02629250855988069,0.9551956109986285,0.2534176981934933,0.9224137931034483,0.8962336831973281,0.00033523655060559924
15,0.036831106969894604,0.9414146691920842,0.2571669289435463,0.9203239289446186,0.8844304133434188,0.0003203494055459022
16,0.03378721342964219,0.9504931095290967,0.3173695123494606,0.9103970741901777,0.87830702880904,0.00030485402327009583
17,0.030239499041638005,0.9537587355496049,0.27624548733421256,0.9179728317659352,0.8682974460223478,0.00028884593796264796
18,0.03603493160470307,0.9476846711514597,0.24605110493199578,0.927115987460815,0.8872992523020022,0.00027242384479270757
19,0.028733944007582453,0.955391548559859,0.20657077451920683,0.9224137931034483,0.8920672881481528,0.0002556889914255674
20,0.023949441930480958,0.9591143622232382,0.2436520438972187,0.9359979101358412,0.9057670395784423,0.00023874455379713938
21,0.022174673193909852,0.9607471752334923,0.237842299238766,0.9386102403343782,0.9072173647020342,0.000221695
22,0.01803075697122895,0.967082489713278,0.23191219387632428,0.9346917450365726,0.9077533146083127,0.00020464544620286067
23,0.018737114505090142,0.9662334269479459,0.2731485302669999,0.9412225705329154,0.9117133807470854,0.0001877010085744327
24,0.01594765235492722,0.9710012409378878,0.2929327544311496,0.9359979101358412,0.9084460686498578,0.00017096615520729248
25,0.014092333325441632,0.9757037424074195,0.38659274811655003,0.9278996865203761,0.8881893805374558,0.00015454406203735204
26,0.023211767659693214,0.9657109267846646,0.27910155163787875,0.9346917450365726,0.903545995213414,0.00013853597672990416
27,0.015627694841905924,0.9742015544379857,0.2815341937784865,0.9357366771159875,0.9115317396551977,0.00012304059445409778
28,0.012846917930694717,0.9756384298870093,0.28454270094726525,0.9435736677115988,0.9202230140445791,0.00010815344939440073
29,0.010015780895759665,0.9813206191626935,0.3130835203790615,0.9412225705329154,0.9149758127464146,9.396632575058413e-05
30,0.010690116917263261,0.9798184311932597,0.2940644071113353,0.9477533960292581,0.9201627868073818,8.056669185760945e-05
31,0.009864625695893301,0.9805368689177716,0.30604057353429787,0.945141065830721,0.9196580256083178,6.803716091425729e-05
32,0.00916209842492194,0.981516556723924,0.3067367242546042,0.9477533960292581,0.9211841397440866,5.645498164528525e-05
33,0.0073189536233288855,0.9853699954281235,0.3108833133551519,0.9527168234064786,0.9248313294883288,4.589156203735204e-05
34,0.007661995288619887,0.984324995101561,0.31090971631316183,0.9485370950888192,0.92464962697944,3.641202908503397e-05
35,0.0076026563544450915,0.985108745346483,0.3094616432673256,0.949582027168234,0.9252575133673248,2.8074827261246714e-05
36,0.006524478248142601,0.9862843707138659,0.31376904515450277,0.9524555903866249,0.9249412495439406,2.093135818763482e-05
37,0.006276883456167937,0.987525308601659,0.3162061813109347,0.9516718913270638,0.9268071687585245,1.502566372648165e-05
38,0.006112659022092473,0.9868721833975573,0.3088174078189218,0.9540229885057471,0.9267610801926424,1.039415444798289e-05
39,0.0058942100178054,0.9873946835608386,0.31542137213043536,0.9508881922675027,0.9287248881362593,7.065385146973609e-06
40,0.006830473330531136,0.9856312455097642,0.3110192179399598,0.9498432601880877,0.9253521012708497,5.059878793122628e-06
