epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1,lr
1,0.32891929111476975,0.577101430344197,1.113288154796373,0.5506792058516197,0.47633837416079416,0.00442
2,0.15329041533806192,0.7997518124224414,0.5005960034103354,0.7735109717868338,0.7090700684422779,0.004413255434474711
3,0.10238300457749576,0.8563124550976422,0.43191170636389326,0.8132183908045977,0.7806476459491161,0.004393063320388102
4,0.106726776268113,0.859839331199791,0.46972092587496916,0.7693312434691745,0.773228897825256,0.004359548148838077
5,0.0945483609833503,0.8761674613023317,0.329371565623966,0.8576280041797283,0.8106539111879412,0.004312916552002167
6,0.0891811184170984,0.8808699627718634,0.3447946239663765,0.8456112852664577,0.8029574440263878,0.004253456029181445
7,0.07164902307263946,0.89158121611913,0.3659154966769423,0.8500522466039707,0.7949246244531986,0.00418153317427173
8,0.06986201213370204,0.8998105936908105,0.31372528523985244,0.8555381400208987,0.8147499543996813,0.0040975914155903185
9,0.06957909752304639,0.8990268434458886,0.3613079978754528,0.8492685475444096,0.8222368199874244,0.004002148281992948
10,0.06461349255807737,0.9026843445888577,0.3514134122473319,0.8719958202716823,0.813413445335967,0.0038957922121363076
11,0.0708535083232422,0.9009209065377833,0.38029823716157657,0.8508359456635318,0.8081917292903327,0.0037791789265580467
12,0.060370122872248716,0.9098687218339756,0.2773730432538777,0.8934169278996865,0.8635951827756094,0.0036530273849416086
13,0.05814802454423565,0.91163215988505,0.31318282333661024,0.8829676071055381,0.8502692486756585,0.003518115353490701
14,0.05381680663472394,0.9186859120893476,0.2898429073977246,0.8790491118077325,0.8484600751930498,0.0033752746097420235
15,0.05118716264647356,0.9196655998955,0.5885426825926471,0.8568443051201672,0.8040671996877085,0.0032253858143801535
16,0.05638392626884971,0.919273724773039,0.33450611251773255,0.8490073145245559,0.8212475611490195,0.0030693730816715795
17,0.04765934279746541,0.9249559140487231,0.2753773923328802,0.8926332288401254,0.860749901893619,0.002908198281992947
18,0.05034338842621705,0.924106851283391,0.27928170672342445,0.8861024033437827,0.8560135516121159,0.0027428551115803355
19,0.04305223836384392,0.929331852916204,0.28893527967802785,0.9038662486938349,0.8729562565477831,0.002574362966061521
20,0.0396974278176822,0.9350793547122983,0.3343158359313335,0.8887147335423198,0.8451092359966067,0.0024037606555429515
21,0.04031982024859443,0.9322709163346613,0.2655052560281355,0.9124869383490073,0.8808584187155568,0.0022320999999999994
22,0.03838463543596924,0.9359284174776304,0.2568972443494179,0.9043887147335423,0.8762244930597072,0.002060439344457048
23,0.03609003097351282,0.9363856051205016,0.25385118821633895,0.9143155694879833,0.8905822112687931,0.0018898370339384793
24,0.035367637314547146,0.9400431062634708,0.28237053935679773,0.8952455590386625,0.8663216912803534,0.0017213448884196645
25,0.03249909933484922,0.943374044804389,0.2594309288817638,0.9049111807732497,0.8767660187380083,0.0015560017180070525
26,0.032589351286464806,0.9452027953758736,0.25690739492077064,0.9106583072100314,0.887619206777451,0.00139482691832842
27,0.030423828302192528,0.9459212331003853,0.2604277181743704,0.9117032392894462,0.8876857199366339,0.0012388141856198454
28,0.029091458245513332,0.9512768597740187,0.24939571704049843,0.9195402298850575,0.895230352736802,0.0010889253902579754
29,0.02826044536228238,0.9515381098556593,0.2561327385460197,0.9195402298850575,0.8924671813300638,0.000946084646509298
30,0.026784113619918646,0.950231859447456,0.25704482864187556,0.9106583072100314,0.8849648454505387,0.0008111726150583912
31,0.02606525476631423,0.9532362353863235,0.2532318389216436,0.9281609195402298,0.904162980994796,0.0006850210734419527
32,0.026355282064418027,0.9521259225393508,0.2472088001395966,0.9221525600835946,0.9000205049944814,0.0005684077878636922
33,0.024490842823797793,0.9561099862843707,0.24647544930098322,0.920846394984326,0.9008593103211497,0.0004620517180070526
34,0.022673407646048024,0.9561099862843707,0.2428398423963455,0.9229362591431557,0.9056052848384586,0.0003666085844096816
35,0.02504891336456172,0.9574815492129841,0.2566659622120135,0.9216300940438872,0.9027604299868806,0.00028266682572827004
36,0.022546498274394016,0.9576774867742146,0.24758860993597076,0.9276384535005224,0.9115254693773068,0.0002107439708185557
37,0.023057929084632438,0.9574815492129841,0.24985733105097443,0.9237199582027168,0.9045019119518003,0.00015128344799783357
38,0.022020343058783275,0.9579387368558553,0.24500522009693593,0.927115987460815,0.9106661221973775,0.00010465185116192345
39,0.022488804094298254,0.9582652994579061,0.24328948032644226,0.9260710553814002,0.9094969207657579,7.113667961189831e-05
40,0.02157216189653859,0.9593102997844687,0.24198398577942742,0.9273772204806687,0.9102999733618256,5.094456552528933e-05
