epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,4.7090891822408585,0.7461302331656978,0.8016191891617411,0.8526645768025078,0.808498470397881
2,1.971454012994241,0.8747305858533081,0.7094892989629986,0.835423197492163,0.7852768121111177
3,1.5576211649567584,0.8965449676703025,0.5362700112125094,0.877742946708464,0.8368546906932061
4,1.4360023053043867,0.9066030958134674,0.5336840940306553,0.8829676071055381,0.8501852033307539
5,1.3245003403661828,0.9154855985892496,0.37307347439797817,0.9111807732497388,0.8748402884256248
6,1.2167988006687593,0.9199268499771406,0.44611986415886956,0.8814002089864159,0.8534582492427738
7,1.1463168399181818,0.9243027888446215,0.4137176807771282,0.9072622779519331,0.870698289471542
8,1.130057270849532,0.9226699758343675,0.38067751048500637,0.9205851619644723,0.8899213731433578
9,1.0547165404059964,0.9252171641303638,0.45461610193162877,0.9062173458725182,0.8632082001839496
10,0.9826964633561825,0.9327281039775325,0.36021326813951926,0.9077847439916406,0.8807285664380968
11,0.8930395928449769,0.937757168049115,0.3809837098530218,0.9054336468129571,0.8783007800467498
12,0.9298966026315495,0.9357324799164,0.36135841636697574,0.9213688610240335,0.8856180118678625
13,0.8448142992524427,0.9397818561818301,0.393025194060217,0.904649947753396,0.8760768749874428
14,0.8704268606815758,0.9352099797531187,0.4167252975197795,0.9177115987460815,0.8817644020049478
15,0.7569656818706123,0.946574358304487,0.3510461785327429,0.9339080459770115,0.9008101935555806
16,0.7272612801041004,0.9436352948860296,0.3962898666706703,0.9067398119122257,0.8787798170908299
17,0.7171085030628788,0.9475540461106394,0.3910655277462962,0.91901776384535,0.8885912027182163
18,0.6872525354087582,0.9484031088759716,0.35995621652251875,0.9213688610240335,0.8933642339962011
19,0.7059752549580735,0.9458559205799751,0.38792344164823417,0.9346917450365726,0.9062145558182517
20,0.6744974087659776,0.950623734569917,0.40092442604317063,0.9310344827586207,0.904412806892918
21,0.6286072935591516,0.9547384233557573,0.41939035481544623,0.9286833855799373,0.8927406421492836
22,0.6251293475253711,0.9532362353863235,0.4083657309085971,0.9320794148380356,0.8998133296021438
23,0.6219269520553912,0.9508849846515577,0.3787102200705928,0.9310344827586207,0.9029357767444252
24,0.5671155023299209,0.9566977989680622,0.5644039919944392,0.9278996865203761,0.8885857948567502
25,0.5771168796551795,0.9567631114884724,0.36505272791428,0.9344305120167189,0.9080502244342886
26,0.5329612559033019,0.9574162366925739,0.3719253584571268,0.9386102403343782,0.911008303714764
27,0.5143884711780676,0.9608124877539024,0.36746108323304505,0.937042842215256,0.9095956622672131
28,0.5250424032589385,0.9591796747436484,0.39011703249429086,0.9399164054336469,0.9176847050028212
29,0.5153718408449962,0.959440924825289,0.36981355091372003,0.9367816091954023,0.9163160493448579
30,0.4887463996376268,0.9633596760498988,0.37683479000533016,0.9331243469174504,0.9078193015054221
31,0.4795938844185917,0.9629024884070276,0.3900040469230654,0.9378265412748171,0.9095250626376088
32,0.4579015900235229,0.9645353014172817,0.380238235448346,0.9399164054336469,0.9134922774797634
33,0.4531811063414683,0.9652537391417935,0.37892634402123615,0.9365203761755486,0.9067664343016171
34,0.4423630119428933,0.9657109267846646,0.38038204116756513,0.9383490073145245,0.9136669504692712
35,0.42908112293952483,0.9664293645091764,0.3610475228373409,0.9375653082549634,0.9124374008488598
36,0.44999684785131955,0.9646006139376918,0.37288938736778565,0.9383490073145245,0.9104779666334712
37,0.42057418659155205,0.9687806152439422,0.36891738483400055,0.9386102403343782,0.910288773211449
38,0.4155057773269466,0.9677356149173797,0.3826595480975188,0.9386102403343782,0.9106073818015477
39,0.4239866812850001,0.9668865521520476,0.3711840661092736,0.940700104493208,0.9132421898634296
40,0.4167233945889567,0.9668865521520476,0.3812104109032401,0.940700104493208,0.9135197043493142
